requester_id,accepter_id,accept_date
4,9,2024-04-05
18,26,2024-09-24
7,26,2024-06-02
17,3,2024-02-09
17,12,2024-07-02
30,9,2024-08-19
11,5,2024-01-22
28,21,2024-01-17
3,22,2024-04-03
14,22,2024-04-19
9,17,2024-01-29
30,18,2024-09-08
11,23,2024-03-01
7,1,2024-08-02
16,13,2024-03-06
21,9,2024-03-31
1,24,2024-06-20
13,26,2024-01-23
18,19,2024-06-20
3,6,2024-01-21
20,22,2024-01-16
12,18,2024-09-14
28,14,2024-11-19
19,11,2024-11-17
30,11,2024-07-17
23,27,2024-11-17
5,12,2024-07-11
17,23,2024-07-29
28,23,2024-04-18
24,1,2024-10-10
13,1,2024-01-25
6,4,2024-03-03
18,3,2024-03-17
6,13,2024-05-23
1,26,2024-03-03
26,25,2024-03-13
18,30,2024-01-29
27,8,2024-10-11
3,8,2024-09-07
5,5,2024-10-02
17,7,2024-03-20
30,4,2024-11-26
28,7,2024-11-27
12,20,2024-01-30
8,4,2024-08-30
11,9,2024-12-27
1,10,2024-11-30
25,11,2024-02-13
7,5,2024-11-11
1,19,2024-05-27
15,18,2024-08-29
24,30,2024-03-24
13,30,2024-03-02
20,8,2024-01-14
22,5,2024-06-04
3,1,2024-11-12
22,14,2024-01-15
14,10,2024-08-25
3,10,2024-08-28
5,7,2024-04-27
29,29,2024-12-14
9,5,2024-07-07
3,19,2024-08-23
28,18,2024-02-27
5,25,2024-05-26
27,22,2024-02-13
13,5,2024-03-20
10,15,2024-12-17
1,12,2024-02-11
8,27,2024-05-27
18,7,2024-05-19
26,20,2024-03-29
1,30,2024-05-29
12,6,2024-12-15
14,3,2024-10-21
22,16,2024-03-15
21,18,2024-06-11
23,15,2024-08-06
4,11,2024-09-07
3,21,2024-09-06
9,16,2024-10-30
26,4,2024-06-15
30,20,2024-08-23
1,14,2024-03-01
24,16,2024-02-24
16,12,2024-09-14
18,9,2024-01-10
20,3,2024-11-23
12,8,2024-01-04
22,18,2024-08-27
12,17,2024-11-07
5,11,2024-04-02
20,30,2024-01-28
23,26,2024-12-11
14,23,2024-12-27
24,9,2024-08-09
15,6,2024-01-11
16,5,2024-01-24
30,22,2024-11-23
16,14,2024-01-18
11,27,2024-03-15
20,5,2024-08-19
23,1,2024-09-23
26,27,2024-04-26
6,24,2024-10-21
12,10,2024-03-12
20,23,2024-12-01
14,7,2024-05-15
4,6,2024-09-17
29,26,2024-05-10
5,13,2024-07-21
3,7,2024-02-18
8,6,2024-07-11
10,3,2024-09-30
13,2,2024-12-18
13,11,2024-04-24
28,27,2024-08-31
19,24,2024-06-03
2,8,2024-09-19
18,4,2024-09-27
6,8,2024-06-22
21,6,2024-12-08
15,20,2024-01-17
29,28,2024-02-09
3,9,2024-07-29
12,21,2024-09-13
4,26,2024-11-05
30,8,2024-04-28
10,5,2024-09-17
8,8,2024-09-08
28,20,2024-02-07
8,17,2024-03-26
25,3,2024-03-02
30,26,2024-08-12
16,9,2024-09-06
1,20,2024-02-18
9,25,2024-12-13
2,19,2024-03-24
25,21,2024-02-07
7,18,2024-02-03
27,5,2024-02-23
8,1,2024-06-25
19,10,2024-08-30
27,23,2024-10-16
17,22,2024-04-25
8,19,2024-10-01
19,19,2024-05-17
25,14,2024-09-06
5,29,2024-04-24
8,28,2024-05-12
2,21,2024-04-08
20,2,2024-04-09
15,15,2024-01-12
22,8,2024-12-06
15,24,2024-01-24
12,7,2024-10-11
23,7,2024-02-12
18,20,2024-12-03
29,23,2024-12-30
7,29,2024-04-18
8,3,2024-10-03
19,3,2024-08-02
1,6,2024-09-29
6,5,2024-09-02
20,4,2024-01-03
6,14,2024-08-16
20,13,2024-11-25
27,9,2024-03-11
22,22,2024-03-22
9,4,2024-02-15
11,1,2024-12-09
5,15,2024-06-28
17,17,2024-06-29
3,27,2024-01-06
5,24,2024-09-01
2,7,2024-07-05
12,2,2024-07-11
6,16,2024-04-05
29,18,2024-06-05
21,14,2024-07-24
23,11,2024-12-09
15,28,2024-04-01
25,30,2024-02-24
7,24,2024-04-05
27,11,2024-09-03
17,10,2024-03-22
5,8,2024-02-10
14,20,2024-01-23
28,19,2024-04-30
8,16,2024-06-10
17,19,2024-07-20
9,15,2024-10-23
11,12,2024-04-14
2,9,2024-06-16
19,25,2024-10-21
30,25,2024-04-06
9,24,2024-08-02
13,6,2024-04-04
11,21,2024-10-13
26,12,2024-08-18
